x xuv xdv xubar xdbar xgl
0.001 0.893571 0.866359 0.837439 0.856506 8.07152
0.00103532 0.889089 0.861723 0.83217 0.851565 8.02535
0.00107189 0.884631 0.857113 0.826914 0.84664 7.97845
0.00110975 0.880196 0.852529 0.821672 0.841732 7.93083
0.00114895 0.875786 0.847974 0.816444 0.836842 7.88253
0.00118953 0.871402 0.843448 0.811231 0.831971 7.83357
0.00123155 0.867044 0.838951 0.806034 0.827119 7.78395
0.00127505 0.862714 0.834485 0.800854 0.822287 7.73371
0.00132009 0.858412 0.83005 0.79569 0.817474 7.68287
0.00136672 0.854139 0.825648 0.790544 0.812682 7.63143
0.00141499 0.849896 0.821279 0.785416 0.807912 7.57944
0.00146497 0.845683 0.816943 0.780307 0.803163 7.5269
0.00151672 0.841502 0.812642 0.775218 0.798435 7.47384
0.00157029 0.837354 0.808377 0.770148 0.793731 7.42027
0.00162576 0.833238 0.804148 0.765098 0.789048 7.36621
0.00168318 0.829157 0.799956 0.76007 0.784389 7.31169
0.00174263 0.82511 0.795801 0.755063 0.779753 7.25672
0.00180419 0.821099 0.791685 0.750078 0.775141 7.20132
0.00186791 0.817124 0.787608 0.745116 0.770552 7.14551
0.00193389 0.813186 0.783571 0.740176 0.765988 7.0893
0.0020022 0.809286 0.779574 0.73526 0.761448 7.03272
0.00207292 0.805425 0.775618 0.730368 0.756932 6.97578
0.00214614 0.801603 0.771703 0.7255 0.75244 6.91851
0.00222195 0.797821 0.767831 0.720657 0.747973 6.86091
0.00230043 0.794081 0.764001 0.715838 0.743531 6.803
0.00238169 0.790382 0.760214 0.711045 0.739113 6.7448
0.00246581 0.786726 0.756471 0.706278 0.734719 6.68633
0.00255291 0.783113 0.752773 0.701537 0.73035 6.6276
0.00264308 0.779545 0.749119 0.696823 0.726005 6.56863
0.00273644 0.776021 0.745509 0.692135 0.721684 6.50944
0.0028331 0.772544 0.741946 0.687474 0.717387 6.45003
0.00293317 0.769112 0.738428 0.682841 0.713114 6.39043
0.00303677 0.765729 0.734956 0.678235 0.708864 6.33064
0.00314404 0.762393 0.73153 0.673657 0.704636 6.27069
0.00325509 0.759106 0.728151 0.669107 0.700431 6.21059
0.00337006 0.75587 0.724819 0.664585 0.696248 6.15035
0.0034891 0.752683 0.721533 0.660091 0.692086 6.08999
0.00361234 0.749548 0.718295 0.655626 0.687945 6.02951
0.00373994 0.746466 0.715103 0.65119 0.683824 5.96894
0.00387204 0.743436 0.711959 0.646782 0.679722 5.90828
0.00400881 0.74046 0.708862 0.642403 0.675639 5.84756
0.0041504 0.737539 0.705811 0.638052 0.671573 5.78677
0.004297 0.734673 0.702808 0.633731 0.667524 5.72593
0.00444878 0.731864 0.699851 0.629439 0.663491 5.66506
0.00460592 0.729111 0.696941 0.625175 0.659473 5.60417
0.00476861 0.726417 0.694077 0.62094 0.655467 5.54326
0.00493705 0.723782 0.691258 0.616734 0.651474 5.48236
0.00511143 0.721206 0.688485 0.612556 0.647492 5.42146
0.00529198 0.718691 0.685757 0.608406 0.643519 5.36059
0.0054789 0.716237 0.683073 0.604285 0.639554 5.29975
0.00567243 0.713846 0.680433 0.600192 0.635595 5.23895
0.00587279 0.711518 0.677835 0.596126 0.631641 5.1782
0.00608022 0.709254 0.67528 0.592088 0.62769 5.11752
0.00629499 0.707054 0.672766 0.588077 0.623739 5.05691
0.00651734 0.704921 0.670292 0.584093 0.619787 4.99638
0.00674754 0.702854 0.667858 0.580135 0.615833 4.93595
0.00698588 0.700855 0.665462 0.576202 0.611873 4.87561
0.00723263 0.698925 0.663102 0.572296 0.607905 4.81538
0.0074881 0.697063 0.660779 0.568414 0.603927 4.75527
0.0077526 0.695272 0.658489 0.564556 0.599937 4.69529
0.00802643 0.693552 0.656232 0.560721 0.595931 4.63544
0.00830994 0.691904 0.654007 0.55691 0.591908 4.57574
0.00860346 0.69033 0.651811 0.553121 0.587864 4.51618
0.00890735 0.688828 0.649643 0.549353 0.583796 4.45679
0.00922198 0.687402 0.6475 0.545605 0.579701 4.39756
0.00954772 0.686051 0.645382 0.541877 0.575576 4.3385
0.00988496 0.684776 0.643285 0.538168 0.571419 4.27962
0.0102341 0.683579 0.641208 0.534476 0.567224 4.22093
0.0105956 0.68246 0.639148 0.530801 0.562989 4.16244
0.0109699 0.68142 0.637103 0.527141 0.558711 4.10415
0.0113573 0.680459 0.63507 0.523495 0.554385 4.04606
0.0117585 0.679579 0.633047 0.519861 0.550008 3.98819
0.0121738 0.67878 0.631032 0.51624 0.545576 3.93054
0.0126038 0.678064 0.62902 0.512628 0.541084 3.87311
0.013049 0.67743 0.62701 0.509024 0.536529 3.81592
0.0135099 0.67688 0.624999 0.505427 0.531907 3.75897
0.0139871 0.676413 0.622982 0.501835 0.527213 3.70226
0.0144812 0.676032 0.620958 0.498247 0.522444 3.6458
0.0149927 0.675736 0.618923 0.49466 0.517594 3.58959
0.0155223 0.675526 0.616874 0.491073 0.512659 3.53364
0.0160705 0.675402 0.614807 0.487483 0.507635 3.47796
0.0166382 0.675366 0.61272 0.483888 0.502518 3.42255
0.0172259 0.675416 0.610608 0.480287 0.497303 3.36741
0.0178343 0.675554 0.608468 0.476677 0.491986 3.31256
0.0184642 0.67578 0.606297 0.473055 0.486563 3.25798
0.0191164 0.676095 0.604091 0.469419 0.481028 3.2037
0.0197917 0.676497 0.601847 0.465767 0.475379 3.14971
0.0204907 0.676988 0.599561 0.462095 0.46961 3.09602
0.0212145 0.677568 0.597231 0.458402 0.463719 3.04263
0.0219639 0.678235 0.594853 0.454684 0.4577 2.98955
0.0227397 0.67899 0.592423 0.450938 0.451551 2.93678
0.0235429 0.679834 0.589938 0.447162 0.445268 2.88432
0.0243744 0.680764 0.587397 0.443351 0.438849 2.83218
0.0252354 0.681781 0.584795 0.439504 0.432289 2.78037
0.0261268 0.682884 0.58213 0.435616 0.425586 2.72888
0.0270496 0.684073 0.5794 0.431685 0.418739 2.67772
0.028005 0.685345 0.576603 0.427707 0.411746 2.6269
0.0289942 0.686701 0.573736 0.423678 0.404605 2.57641
0.0300184 0.688139 0.570798 0.419596 0.397314 2.52627
0.0310787 0.689658 0.567788 0.415455 0.389875 2.47647
0.0321764 0.691255 0.564704 0.411253 0.382286 2.42702
0.0333129 0.69293 0.561547 0.406987 0.374549 2.37793
0.0344896 0.69468 0.558315 0.402652 0.366665 2.32919
0.0357079 0.696504 0.555009 0.398244 0.358636 2.28081
0.0369691 0.698398 0.551629 0.39376 0.350465 2.23279
0.0382749 0.700361 0.548177 0.389197 0.342155 2.18514
0.0396269 0.702389 0.544655 0.38455 0.33371 2.13786
0.0410266 0.704479 0.541063 0.379816 0.325137 2.09096
0.0424757 0.706629 0.537405 0.374991 0.31644 2.04443
0.043976 0.708835 0.533684 0.370073 0.307626 1.99828
0.0455294 0.711093 0.529903 0.365056 0.298704 1.95251
0.0471375 0.713399 0.526066 0.35994 0.289682 1.90713
0.0488025 0.715748 0.522179 0.354719 0.280569 1.86214
0.0505263 0.718137 0.518245 0.349391 0.271377 1.81755
0.052311 0.720559 0.514272 0.343954 0.262116 1.77335
0.0541587 0.723011 0.510263 0.338405 0.2528 1.72956
0.0560717 0.725486 0.506227 0.332742 0.243441 1.68617
0.0580523 0.727979 0.50217 0.326963 0.234054 1.64318
0.0601028 0.730483 0.498098 0.321066 0.224655 1.60061
0.0622257 0.732991 0.49402 0.315051 0.215258 1.55845
0.0644236 0.735497 0.489942 0.308915 0.205882 1.51671
0.0666992 0.737994 0.485872 0.302659 0.196542 1.4754
0.0690551 0.740473 0.481818 0.296284 0.187258 1.43451
0.0714943 0.742927 0.477786 0.289789 0.178047 1.39405
0.0740196 0.745347 0.473784 0.283175 0.168929 1.35402
0.0766341 0.747723 0.469818 0.276445 0.159922 1.31443
0.079341 0.750046 0.465894 0.269601 0.151047 1.27529
0.0821434 0.752306 0.462017 0.262646 0.142321 1.23659
0.0850449 0.754493 0.458193 0.255583 0.133765 1.19835
0.0880488 0.756596 0.454424 0.248418 0.125398 1.16056
0.0911589 0.758601 0.450713 0.241155 0.117237 1.12323
0.0943788 0.760498 0.44706 0.2338 0.1093 1.08637
0.0977124 0.762273 0.443465 0.226361 0.101604 1.04998
0.101164 0.763912 0.439925 0.218845 0.0941651 1.01407
0.104737 0.765401 0.436437 0.21126 0.086998 0.97864
0.108437 0.766725 0.432994 0.203617 0.080116 0.9437
0.112267 0.767867 0.429588 0.195925 0.0735308 0.909257
0.116232 0.76881 0.426209 0.188196 0.0672528 0.875317
0.120338 0.769535 0.422845 0.180442 0.0612903 0.841886
0.124588 0.770025 0.41948 0.172676 0.0556498 0.808972
0.128989 0.770259 0.416097 0.164912 0.0503359 0.776583
0.133545 0.770214 0.412677 0.157164 0.045351 0.744728
0.138262 0.769868 0.409198 0.149447 0.0406955 0.713414
0.143146 0.769198 0.405637 0.141777 0.0363676 0.68265
0.148202 0.768177 0.401968 0.134172 0.0323634 0.652447
0.153437 0.766779 0.398163 0.126647 0.028677 0.622813
0.158857 0.764974 0.394193 0.11922 0.0253005 0.593759
0.164468 0.762733 0.390028 0.11191 0.0222242 0.565295
0.170277 0.760023 0.385637 0.104732 0.0194367 0.537432
0.176291 0.756811 0.380989 0.0977059 0.0169249 0.51018
0.182518 0.753061 0.376051 0.0908483 0.0146746 0.483553
0.188965 0.748735 0.370793 0.0841766 0.0126704 0.45756
0.19564 0.743795 0.365184 0.0777075 0.0108959 0.432215
0.20255 0.738199 0.359195 0.0714568 0.00933435 0.407528
0.209705 0.731907 0.3528 0.0654397 0.00796846 0.383513
0.217112 0.724873 0.345974 0.0596701 0.00678091 0.360181
0.224781 0.717054 0.338695 0.0541608 0.0057545 0.337545
0.23272 0.708403 0.330948 0.048923 0.00487245 0.315616
0.24094 0.698876 0.322717 0.0439663 0.00411855 0.294406
0.249451 0.688427 0.313995 0.0392986 0.00347741 0.273927
0.258262 0.67701 0.304777 0.0349257 0.00293456 0.254189
0.267384 0.664582 0.295067 0.0308514 0.00247663 0.235203
0.276829 0.651103 0.284873 0.0270774 0.0020914 0.216978
0.286607 0.636534 0.274209 0.023603 0.00176789 0.199523
0.29673 0.620843 0.263097 0.0204253 0.00149634 0.182845
0.307211 0.604003 0.251564 0.0175393 0.00126824 0.166951
0.318063 0.585994 0.239646 0.0149374 0.00107623 0.151847
0.329297 0.566805 0.227385 0.0126103 0.000914083 0.137535
0.340929 0.546436 0.214828 0.0105464 0.000776591 0.124018
0.352971 0.5249 0.202032 0.00873229 0.000659458 0.111296
0.365438 0.502223 0.189057 0.00715314 0.00055919 0.0993668
0.378346 0.47845 0.175972 0.00579263 0.000472985 0.0882262
0.39171 0.453642 0.162849 0.00463342 0.000398609 0.0778678
0.405546 0.427883 0.149764 0.00365745 0.000334298 0.0682825
0.419871 0.401276 0.1368 0.00284623 0.000278654 0.0594586
0.434701 0.373951 0.12404 0.00218124 0.000230563 0.0513815
0.450056 0.34606 0.111568 0.0016442 0.000189124 0.0440336
0.465953 0.317781 0.0994717 0.00121747 0.000153588 0.0373944
0.482411 0.289318 0.0878341 0.000884286 0.000123317 0.0314402
0.499451 0.260897 0.0767368 0.000629051 9.77467e-05 0.0261443
0.517092 0.232767 0.0662563 0.000437534 7.63658e-05 0.0214767
0.535357 0.205195 0.0564625 0.000297025 5.87001e-05 0.0174047
0.554266 0.178459 0.0474168 0.000196432 4.43041e-05 0.0138923
0.573844 0.152848 0.0391697 0.000126303 3.27564e-05 0.0109012
0.594113 0.128646 0.0317592 7.88031e-05 2.36591e-05 0.00839064
0.615099 0.106127 0.0252085 4.76155e-05 1.66387e-05 0.00631771
0.636825 0.0855424 0.0195251 2.78106e-05 1.13481e-05 0.00463813
0.659319 0.0671063 0.0146988 1.56723e-05 7.46897e-06 0.0033066
0.682607 0.0509845 0.0107014 8.50444e-06 4.71466e-06 0.00227753
0.706718 0.0372793 0.0074865 4.4317e-06 2.83178e-06 0.0015058
0.731681 0.026017 0.0049904 2.20745e-06 1.6018e-06 0.000947542
