x uv dv ubar dvar gl
1e-05 1.3609 1.35249 1.35329 1.35205 13.8656
2e-05 1.22197 1.20987 1.21121 1.20917 10.9194
3e-05 1.12279 1.10789 1.10967 1.10697 8.20829
5e-05 0.998511 0.979249 0.98178 0.977928 4.74211
6e-05 0.956255 0.935172 0.938034 0.933667 3.59014
7e-05 0.921734 0.898993 0.902165 0.897312 2.66928
8e-05 0.892815 0.868544 0.872008 0.866693 1.9158
9e-05 0.868105 0.842407 0.84615 0.840391 1.28742
0.0001 0.84665 0.819614 0.823622 0.817437 0.755052
0.0002 0.72099 0.683507 0.68971 0.679862 -2.02993
0.0003 0.659304 0.61421 0.622112 0.609248 -3.10575
0.0005 0.592203 0.535699 0.546227 0.528332 -3.95763
0.0006 0.570689 0.50958 0.521173 0.501083 -4.14441
0.0007 0.553361 0.488127 0.500667 0.478536 -4.26016
0.0008 0.538928 0.469947 0.483335 0.459289 -4.33175
0.0009 0.5266 0.454182 0.468335 0.44248 -4.37442
0.001 0.515871 0.440267 0.455113 0.427543 -4.39739
0.002 0.450724 0.351693 0.37084 0.329522 -4.25301
0.003 0.415629 0.301167 0.321731 0.270421 -3.98937
0.005 0.373392 0.238648 0.257465 0.192248 -3.53821
0.006 0.358866 0.217024 0.233484 0.163321 -3.3555
0.007 0.346897 0.199282 0.212694 0.138552 -3.19486
0.008 0.336837 0.184487 0.194286 0.116966 -3.0522
0.009 0.328267 0.172021 0.177741 0.0979203 -2.92428
0.01 0.320902 0.161449 0.162703 0.0809593 -2.80861
0.02 0.285201 0.115135 0.0600009 -0.0212256 -2.04081
0.03 0.283609 0.119194 0.00132686 -0.0624137 -1.60751
0.05 0.319206 0.171422 -0.0591233 -0.0787397 -1.10598
0.06 0.345207 0.201963 -0.0737864 -0.0739579 -0.943867
0.07 0.373051 0.230839 -0.0823008 -0.0662603 -0.815151
0.08 0.401247 0.256632 -0.0864377 -0.0576114 -0.710397
0.09 0.4288 0.278757 -0.0874508 -0.0490691 -0.623521
0.1 0.455044 0.297114 -0.0862447 -0.0411556 -0.550388
0.15 0.555004 0.339081 -0.0651714 -0.0150353 -0.311802
0.2 0.596483 0.32533 -0.0408656 -0.00506224 -0.18566
0.3 0.539531 0.234307 -0.0119017 -0.000685286 -0.068758
0.4 0.387209 0.136601 -0.00250266 -0.000140358 -0.0249495
0.55 0.157998 0.0418119 -0.00010796 -9.92093e-06 -0.00453035
0.6 0.103216 0.024841 -2.34036e-05 -2.82014e-06 -0.00233633
0.7 0.0330851 0.00661444 4.4535e-07 1.33793e-07 -0.000502508
0.9 0.000172987 1.65657e-05 2.92062e-09 1.99731e-09 -7.87231e-07
