x xuv xdv xubar xdbar xgl
0.00052427 0.882769 0.85974 0.842672 0.855534 3.74944
0.00554676 0.667078 0.637451 0.56315 0.600062 3.8575
0.0105693 0.644541 0.608429 0.505175 0.54176 3.32691
0.0155917 0.642988 0.594412 0.472929 0.500901 2.96273
0.0206142 0.64851 0.5833 0.449703 0.464765 2.68873
0.0256367 0.656907 0.572574 0.430611 0.430679 2.47022
0.0306592 0.66649 0.561744 0.413707 0.398021 2.28905
0.0356817 0.676448 0.550852 0.398087 0.366741 2.1347
0.0407042 0.686367 0.540065 0.383287 0.336913 2.00051
0.0457267 0.696018 0.52955 0.36905 0.308626 1.88204
0.0507492 0.705273 0.519454 0.355243 0.281963 1.77615
0.0557717 0.714063 0.509875 0.341779 0.256958 1.68059
0.0607942 0.722349 0.500885 0.328627 0.233632 1.59363
0.0658167 0.730115 0.492517 0.315767 0.211966 1.51397
0.0708391 0.737359 0.484781 0.303183 0.191922 1.44058
0.0758616 0.744085 0.477666 0.290886 0.173446 1.37262
0.0808841 0.750303 0.471148 0.278871 0.156473 1.30943
0.0859066 0.756023 0.465192 0.267143 0.14093 1.25045
0.0909291 0.761263 0.459751 0.255716 0.126729 1.19523
0.0959516 0.766034 0.45478 0.24459 0.113792 1.14337
0.100974 0.770352 0.450228 0.233772 0.102031 1.09454
0.105997 0.774227 0.446045 0.223264 0.091373 1.04848
0.111019 0.777678 0.442178 0.213073 0.081722 1.00492
0.116042 0.780715 0.438578 0.2032 0.0730034 0.96366
0.121064 0.783351 0.435199 0.193646 0.0651432 0.924512
0.126087 0.785596 0.431997 0.184411 0.0580686 0.887312
0.131109 0.787463 0.42893 0.175495 0.0517083 0.851913
0.136132 0.788967 0.425962 0.166895 0.0459935 0.818181
0.141154 0.790097 0.423055 0.158609 0.0408903 0.786024
0.146177 0.790877 0.42018 0.150634 0.0363214 0.755319
0.151199 0.791329 0.417315 0.142962 0.032223 0.72596
0.156221 0.791416 0.414418 0.135597 0.0285918 0.697907
0.161244 0.791204 0.411493 0.128522 0.0253301 0.671025
0.166266 0.790636 0.408492 0.121744 0.0224509 0.645306
0.171289 0.789772 0.405425 0.115245 0.0198762 0.620634
0.176311 0.788596 0.402269 0.109024 0.0175891 0.59697
0.181334 0.787093 0.399 0.103079 0.0155707 0.574279
0.186356 0.785307 0.395633 0.0973922 0.013773 0.552479
0.191379 0.783238 0.392158 0.0919573 0.0121752 0.531527
0.196401 0.78085 0.388545 0.0867794 0.010772 0.511414
0.201424 0.778172 0.384806 0.0818435 0.00953215 0.49208
0.206446 0.77522 0.380945 0.0771387 0.00843439 0.473481
0.211469 0.771995 0.376961 0.0726581 0.00746386 0.455585
0.216491 0.768499 0.372852 0.0683947 0.00660697 0.438361
0.221514 0.764735 0.36862 0.0643413 0.00585127 0.421781
0.226536 0.760707 0.364265 0.060491 0.00518545 0.405818
0.231559 0.756417 0.359791 0.0568364 0.00459924 0.390447
0.236581 0.75187 0.355201 0.0533704 0.00408336 0.375641
0.241604 0.747071 0.350499 0.0500856 0.00362948 0.361379
0.246626 0.742023 0.345691 0.0469746 0.00323012 0.347638
0.251649 0.736734 0.340784 0.04403 0.00287863 0.334396
0.256671 0.73121 0.335783 0.0412445 0.00256911 0.321633
0.261694 0.725457 0.330696 0.0386107 0.00229632 0.309328
0.266716 0.719483 0.32553 0.0361212 0.00205566 0.297462
0.271739 0.713297 0.320294 0.033769 0.00184311 0.286018
0.276761 0.706908 0.314993 0.0315469 0.00165514 0.274976
0.281784 0.700313 0.309632 0.0294511 0.00148927 0.264327
0.286806 0.693461 0.304191 0.0274904 0.00134532 0.254089
0.291829 0.686425 0.298707 0.0256411 0.0012173 0.244209
0.296851 0.679216 0.29319 0.0238968 0.00110321 0.23467
0.301874 0.671845 0.287646 0.0222511 0.00100133 0.225457
0.306896 0.664301 0.282074 0.0207037 0.000910868 0.216569
0.311919 0.656516 0.276453 0.0192663 0.000832197 0.208037
0.316941 0.648595 0.270827 0.0179108 0.000761239 0.199792
0.321964 0.640551 0.265202 0.0166318 0.000697113 0.19182
0.326986 0.632349 0.259568 0.0154349 0.000639958 0.184136
0.332009 0.623941 0.253917 0.0143261 0.000589649 0.17676
0.337031 0.615441 0.248285 0.0132793 0.000543638 0.169622
0.342054 0.606861 0.242678 0.0122903 0.000501513 0.16271
0.347076 0.598043 0.237057 0.0113878 0.000464878 0.15611
0.352099 0.58916 0.231471 0.0105351 0.000431001 0.149719
0.357121 0.580228 0.225924 0.00972821 0.000399627 0.143522
0.362144 0.57108 0.220383 0.00899604 0.000372127 0.137615
0.367166 0.561895 0.214889 0.00830357 0.000346449 0.131888
0.372189 0.55266 0.209438 0.00765206 0.000322656 0.126346
0.377211 0.543252 0.204017 0.00706124 0.000301471 0.121061
0.382234 0.533846 0.198652 0.00649948 0.000281439 0.115925
0.387256 0.524344 0.193333 0.00598242 0.000263168 0.110994
0.392279 0.51477 0.188067 0.00550443 0.000246327 0.106255
0.397301 0.505215 0.18286 0.00504958 0.000230328 0.101644
0.402324 0.495508 0.177709 0.00464493 0.000216051 0.0972759
0.407346 0.485847 0.172621 0.00425734 0.000202338 0.0930157
0.412369 0.47611 0.167598 0.00390562 0.00018979 0.0889462
0.417391 0.46637 0.162643 0.00357752 0.000177983 0.0850182
0.422414 0.456627 0.157755 0.00327234 0.000166893 0.0812275
0.427436 0.446843 0.152943 0.00299563 0.00015666 0.0776086
0.432459 0.437111 0.148195 0.00273215 0.000146838 0.074083
0.437481 0.427319 0.143537 0.00249953 0.000137919 0.0707509
0.442503 0.417614 0.138937 0.0022736 0.000129217 0.0674793
0.447526 0.407849 0.134438 0.00207824 0.000121396 0.0644111
0.452548 0.398179 0.129996 0.00188762 0.000113735 0.0613937
0.457571 0.388486 0.125659 0.00172186 0.000106794 0.0585564
0.462593 0.378882 0.12138 0.00156126 0.000100024 0.0557737
0.467616 0.369282 0.117208 0.00142152 9.38672e-05 0.0531557
0.472638 0.359772 0.113094 0.00128633 8.78649e-05 0.0505893
0.477661 0.350288 0.109094 0.00116933 8.24106e-05 0.0481792
0.482683 0.340897 0.105146 0.00105556 7.70736e-05 0.0458115
0.487706 0.331553 0.101321 0.000958301 7.22504e-05 0.0435984
0.492728 0.322303 0.0975379 0.000862546 6.74925e-05 0.0414129
0.497751 0.313122 0.0938915 0.000782319 6.32378e-05 0.0393864
0.502773 0.304034 0.0902818 0.000702898 5.90258e-05 0.0373802
0.507796 0.29504 0.0868075 0.000636043 5.52437e-05 0.0355172
0.512818 0.286136 0.0833776 0.000571055 5.15388e-05 0.0336853
0.517841 0.277347 0.0800672 0.000514846 4.81554e-05 0.0319666
0.522863 0.268652 0.0768199 0.000462131 4.49082e-05 0.0302991
0.527886 0.260077 0.0736672 0.00041475 4.18734e-05 0.0287113
0.532908 0.251618 0.0706046 0.000372388 3.90392e-05 0.0271988
0.537931 0.243263 0.0676025 0.000332353 3.63098e-05 0.0257294
0.542953 0.235063 0.0647261 0.000298646 3.38476e-05 0.0243627
0.547976 0.22694 0.0618762 0.00026525 3.14081e-05 0.0230086
0.552998 0.219015 0.0591768 0.000238226 2.92588e-05 0.0217705
0.558021 0.211173 0.0565116 0.000211928 2.71502e-05 0.0205518
0.563043 0.203494 0.0539475 0.000188874 2.52061e-05 0.019403
0.568066 0.195957 0.0514671 0.000168398 2.33942e-05 0.0183111
0.573088 0.188513 0.0490281 0.00014871 2.16307e-05 0.0172425
0.578111 0.181305 0.0467316 0.000132958 2.00837e-05 0.0162689
0.583133 0.174159 0.044455 0.000117342 1.855e-05 0.0153038
0.588156 0.167226 0.0422929 0.000104201 1.71686e-05 0.014409
0.593178 0.160427 0.0401966 9.23383e-05 1.58682e-05 0.0135529
0.598201 0.153722 0.0381382 8.09682e-05 1.46048e-05 0.0127163
0.603223 0.14729 0.0362198 7.20786e-05 1.35107e-05 0.0119613
0.608246 0.140913 0.0343173 6.32627e-05 1.24256e-05 0.0112126
0.613268 0.134744 0.0325103 5.57372e-05 1.14409e-05 0.0105153
0.618291 0.128748 0.0307806 4.92247e-05 1.05356e-05 0.00985918
0.623313 0.122801 0.0290649 4.27649e-05 9.63763e-06 0.00920834
0.628336 0.11718 0.0274929 3.78998e-05 8.87851e-06 0.00863164
0.633358 0.111627 0.0259441 3.31998e-05 8.13621e-06 0.00806518
0.638381 0.106192 0.0244394 2.8829e-05 7.42836e-06 0.00751903
0.643403 0.101047 0.0230526 2.54643e-05 6.8211e-06 0.00702982
0.648426 0.0959412 0.0216765 2.21258e-05 6.21855e-06 0.00654441
0.653448 0.0910367 0.0203752 1.92642e-05 5.67164e-06 0.00609271
0.658471 0.0863453 0.0191537 1.69143e-05 5.18428e-06 0.00567702
0.663493 0.0816896 0.0179414 1.45822e-05 4.70063e-06 0.00526449
0.668516 0.0773019 0.0168244 1.2727e-05 4.2811e-06 0.00489289
0.673538 0.0730632 0.0157587 1.11143e-05 3.89482e-06 0.00454291
0.678561 0.0688559 0.0147008 9.51361e-06 3.51142e-06 0.00419553
0.683583 0.0649632 0.0137486 8.31677e-06 3.1915e-06 0.00389121
